ID,Products,Expiration Date,Amount,Locations,packaging
1,Eggs,April 8909,947,Illinois,Cyan
2,Grooming products,August 3422,470,New York,Purple
3,Candies,February 5276,753,Pennsylvania,Dark Red
4,Pasta,December 4863,686,New Jersey,Ultramarine
5,Salmon,February 1507,698,Alabama,Lavender
6,Meat,August 2096,360,North Carolina,Red
7,Detergents,July 9536,929,Alaska,coral
8,Dairy,July 7896,227,Montana,Lavender
9,Paper Goods,February 8994,892,Colorado,Brown
10,Paper Goods,July 9786,171,Colorado,Brown
11,Cosmetics,March 7155,404,Idaho,Cadet blue
12,Fish,June 9997,514,Illinois,Cyan
13,Flour,May 2015,46,Arizona,Sienna
14,Fish,January 0092,151,Iowa,Cerise
15,Poultry,April 1595,118,New Jersey,Red
16,Fruits,October 9131,196,New York,Pink
17,Bakery products,November 6171,487,Arkansas,Aquamarine
18,Salmon,November 7424,19,Washington,Azure
19,Candies,September 6910,128,Mississippi,coral
20,Seafood,October 2864,294,Indiana,Ultramarine
21,Seafood,July 4945,299,Kentucky,Gold
22,Medicines,March 4090,34,Florida,Maroon
23,Housewares,February 4758,125,New York,Capri
24,Sweets,August 5854,66,Connecticut,Azure
25,Fish,February 0662,564,Arkansas,Green
26,Ground turkey,February 6476,325,Michigan,Capri
27,Sweets,March 5193,281,Utah,Salmon
28,Canned Goods,April 4955,373,North Carolina,Brown
29,Pasta,June 6748,197,Virginia,Ultramarine
30,Flowers,June 8698,241,California,coral
31,Cereals,July 0082,102,Minnesota,Cyan
32,House-cleaning products,April 7406,598,Montana,Sky blue
33,Paper Goods,August 2796,670,Idaho,Lime
34,Dry Goods,June 2204,974,Michigan,Olive
35,Brown rice,August 3689,857,Arizona,Sienna
36,Alcoholic beverages,September 1308,685,Vermont,Mauve
37,Dry Goods,April 5882,520,Delaware,Cerise
38,Dishware,September 9253,977,Hawaii,Rust
39,Baby food,January 5007,782,Texas,Mauve
40,Frozen foods,January 6073,418,New Jersey,Sky blue
41,Sweets,October 7538,1,Vermont,Ruby
42,Grooming products,October 0850,770,South Carolina,Amethyst
43,Olive oil,August 1557,66,Colorado,coral
44,Sweets,June 8027,295,Kentucky,Brown
45,Eggs,January 2872,417,New York,Turquoise
46,Tea,June 4031,851,Mississippi,Orange
47,Coffee,July 5138,258,Minnesota,Auburn
48,Tea,October 3717,641,Illinois,Auburn
49,Pasta,October 3628,909,Florida,Mauve
50,Decorations,December 7966,582,Arkansas,Beige
51,Frozen foods,January 3278,239,Idaho,Fuchsia
52,Detergents,January 9482,915,Kentucky,Aquamarine
53,Canned Goods,February 5488,104,California,Fuchsia
54,Grooming products,August 0499,61,Ohio,Apricot
55,Dry Goods,December 7077,464,Iowa,Pink
56,Bottled waters,March 6874,726,Oregon,Auburn
57,Medicines,October 8699,47,Louisiana,Purple
58,Baby food,January 8781,926,Oregon,Ultramarine
59,Ground turkey,August 1669,617,New Jersey,White
60,Dry Goods,May 5805,26,Maryland,Blue
61,Canned Goods,October 0763,757,Colorado,Orange
62,Nonalcoholic beverages,April 6855,870,South Carolina,Rust
63,Diet foods,January 4289,22,Vermont,Aquamarine
64,Olive oil,August 4883,296,Delaware,Azure
65,Tea,January 5471,991,Arkansas,Rosewood
66,Seafood,November 2235,781,Massachussets,Salmon
67,Personal Care,February 3883,719,Oregon,Beige
68,Decorations,December 1392,345,Indiana,Lime
69,Pasta,November 7966,366,Georgia,Gold
70,Brown rice,April 9450,760,Maryland,Green
71,Dairy,December 5614,181,Arizona,Salmon
72,Cosmetics,April 4335,554,Vermont,Turquoise
73,Bottled waters,December 4932,913,Hawaii,Cadet blue
74,Personal Care,July 2150,5,North Dakota,Gray
75,Pasta,March 4630,29,Kansas,Carmine
76,Seafood,November 4005,315,Georgia,Mauve
77,Dairy,November 3531,892,Vermont,Lime
78,Diet foods,June 9163,352,Kansas,coral
79,Pasta,February 7690,169,Virginia,Auburn
80,Fish,April 1070,912,Mississippi,White
81,Housewares,September 0094,648,Indiana,Capri
82,Grooming products,August 3877,958,Louisiana,Turquoise
83,Olive oil,December 0638,866,Washington,Cerise
84,Tea,September 5034,826,Virginia,Rosegold
85,Tea,November 9872,361,Texas,Rosegold
86,Fruits,September 3576,250,Arizona,Lavender
87,Fish,June 1901,894,North Dakota,Ruby
88,Baby-care,May 0240,67,Massachussets,Rosewood
89,Poultry,May 9037,425,Utah,Ruby
90,Fish,June 9397,73,Mississippi,Barbie Pink
91,Eggs,October 7525,956,New Mexico,Rosewood
92,Nonalcoholic beverages,December 7078,501,Wyoming,Sienna
93,Tomato sauce,June 3915,764,Hawaii,Purple
94,Frozen foods,August 5501,948,Idaho,Dark Red
95,Toys,April 8922,598,Louisiana,Turquoise
96,Salmon,February 6995,267,Utah,Dark red
97,Baby-care,October 3187,162,Wisconsin,Capri
98,Sweets,October 1739,142,Oklahoma,Beige
99,Poultry,October 9034,386,Virginia,Dark red
100,Flour,December 8533,206,Oregon,Rosegold
101,Fruits,December 1585,703,Colorado,Silver
102,Flowers,July 5337,896,Kansas,Maroon
103,Cheese,July 6193,486,Delaware,Cerise
104,Medicines,August 8932,854,Iowa,Lime
105,Mustard,January 6424,909,Kentucky,Emerald
106,Meat,March 6783,420,Idaho,Rosegold
107,Paper Goods,November 8993,138,Wyoming,Barbie Pink
108,House-cleaning products,April 1734,464,Arkansas,Apricot
109,Eggs,January 3435,375,South Carolina,Purple
110,Coffee,October 1439,359,Massachussets,Gold
111,Fish,February 5429,735,North Carolina,Beige
112,Sauces,October 7058,381,North Carolina,Mauve
113,Bakery products,March 8022,979,New Hampshire,Black
114,Baby food,May 9535,314,South Carolina,Capri
115,Toys,December 2858,28,Georgia,Cadet blue
116,Brown rice,January 7461,294,Nevada,Cadet blue
117,Detergents,February 8867,875,Massachussets,Blue
118,Baby food,July 2526,510,Wisconsin,Azure
119,Canned Goods,December 5074,81,Alaska,Amethyst
120,Dry Goods,October 2191,733,Oklahoma,Purple
121,Grooming products,June 1572,355,Alaska,Lavender
122,Brown rice,September 6912,472,Indiana,Barbie Pink
123,Eggs,March 9808,212,California,Peach
124,Cereals,November 7122,991,New York,Emerald
125,Pasta,February 9815,928,Missouri,Gold
126,Decorations,July 8563,176,Vermont,Dark red
127,Bottled waters,January 8887,7,Louisiana,Ruby
128,Frozen foods,August 2515,424,Kansas,Lavender
129,Olive oil,May 2928,523,Colorado,Maroon
130,Personal Care,March 9819,496,Kentucky,Barbie Pink
131,Fish,August 2688,623,Delaware,Lavender
132,Baby food,February 1792,778,New Hampshire,Red
133,Paper Goods,January 0028,231,Pennsylvania,Sienna
134,Eggs,December 4058,557,Ohio,Cadet blue
135,Seafood,March 6913,939,North Dakota,Amethyst
136,Vegetables,March 9612,724,Hawaii,Aqua
137,Flour,May 9752,669,North Carolina,Peach
138,Snack foods,August 3730,218,Idaho,Magenta
139,Olive oil,September 4084,347,New Mexico,Sepia
140,Snack foods,December 8827,58,Colorado,Cadet blue
141,Pet foods,August 9015,118,Florida,Barbie Pink
142,Housewares,April 9472,204,Massachussets,Sepia
143,Tomato sauce,January 3619,239,Delaware,Sienna
144,Seafood,October 8588,97,Nebraska,Rust
145,Bread,October 5179,749,Colorado,Aqua
146,Snack foods,December 5507,32,Mississippi,Sepia
147,Snack foods,May 3662,444,Kansas,Orange
148,Alcoholic beverages,October 2324,314,Iowa,Sky blue
149,Mustard,May 2176,221,Rhode Island,Gold
150,Candies,April 9895,527,Rhode Island,coral
151,Grooming products,December 2042,952,Oklahoma,Sienna
152,Fruits,July 1554,529,Oklahoma,Magenta
153,Meat,August 3975,411,Nevada,Rosegold
154,Brown rice,March 8546,422,North Carolina,Cyan
155,Toys,December 7981,86,Rhode Island,Turquoise
156,Fruits,December 4135,534,Kansas,Carmine
157,White rice,April 6353,967,California,Gold
158,Personal hygiene,October 5065,897,Arkansas,Gray
159,Detergents,December 1259,910,Georgia,Turquoise
160,Tomato sauce,November 5327,257,Colorado,Dark red
161,Decorations,February 9838,145,Utah,Red
162,Paper Goods,February 4273,260,New Hampshire,Emerald
163,Fish,June 1625,527,Kentucky,Carmine
164,Tea,August 3279,227,Iowa,Cyan
165,Chicken,April 0420,550,North Carolina,Brown
166,Nonalcoholic beverages,May 0063,943,Massachussets,Pink
167,Detergents,December 2832,720,Georgia,Pink
168,Meat,February 7174,903,Rhode Island,Green
169,Mustard,February 6601,576,Indiana,Olive
170,Baby food,July 4763,687,Ohio,Azure
171,Flowers,July 3149,115,Arizona,Pink
172,Cosmetics,October 9366,395,Delaware,Brown
173,Canned Goods,March 5990,754,Massachussets,Amethyst
174,Chicken,June 8436,272,Tennessee,Amethyst
175,Condiments,March 2851,31,Louisiana,Brown
176,Flowers,March 6037,151,Colorado,Mauve
177,Detergents,February 9912,409,Massachussets,Magenta
178,Pasta,October 5662,982,Indiana,Orange
179,Fish,March 9654,943,Arizona,Beige
180,Cheese,December 8878,702,Michigan,Dark Red
181,Baby food,August 2251,713,Louisiana,Lavender
182,Fruits,November 5785,23,Nevada,Green
183,Baby food,February 4576,838,Montana,Rosewood
184,Bread,August 2905,345,Idaho,Champagne
185,Cereals,July 4198,702,Utah,Sky blue
186,Baby food,November 1864,69,Oregon,Olive
187,Frozen foods,December 7600,469,North Dakota,Lavender
188,Diet foods,September 9230,893,Missouri,Fuchsia
189,Canned Goods,July 3551,21,Michigan,Capri
190,Eggs,April 3417,982,Iowa,Champagne
191,Eggs,June 3350,952,Oklahoma,White
192,Brown rice,December 2450,500,North Carolina,Black
193,White rice,November 4983,566,Pennsylvania,Beige
194,Olive oil,January 9430,641,North Carolina,Gold
195,Diet foods,April 3290,617,North Dakota,Peach
196,Sauces,October 6118,631,Maryland,Sepia
197,Brown rice,December 6134,711,Texas,Champagne
198,Frozen foods,December 9542,472,North Carolina,Rosegold
199,Meat,March 6006,728,Maine,Capri
200,Dishware,May 5282,157,Kansas,Amethyst
201,Baby food,July 6349,141,Arizona,Camel
202,Hygiene products,July 8238,84,New York,Fuchsia
203,Diet foods,October 4490,382,Kentucky,Lime
204,Fish,August 8808,466,Virginia,Ruby
205,Baby-care,December 7088,21,Vermont,Ultramarine
206,Fruits,October 3585,279,Minnesota,Lavender
207,Grooming products,November 1270,20,Washington,Mauve
208,Nonalcoholic beverages,May 4586,400,Delaware,Ultramarine
209,Hygiene products,October 4429,539,Montana,Lime
210,Grooming products,September 8270,536,Wyoming,Cyan
211,Condiments,December 0716,281,West Virginia,Auburn
212,Pet foods,April 0092,998,Illinois,Camel
213,Cereals,June 7087,502,North Dakota,Cadet blue
214,Dairy,April 0521,239,Washington,Cerise
215,Personal hygiene,October 6205,858,Iowa,Black
216,Sweets,February 5169,651,Washington,Silver
217,Salmon,November 8919,155,Rhode Island,Red
218,Canned Goods,September 3132,219,Michigan,Red
219,Bottled waters,June 6617,739,Pennsylvania,Turquoise
220,Tomato sauce,October 3186,795,Rhode Island,Purple
221,Sweets,June 8869,365,New Mexico,Pink
222,Flour,February 4137,543,Massachussets,Lime
223,Ground turkey,November 9030,486,South Carolina,Dark Red
224,Dairy,August 7868,508,Oklahoma,Rosewood
225,Fish,November 0482,255,Ohio,Green
226,Toys,August 5073,85,Virginia,Rust
227,Flowers,December 5691,157,Alabama,Blue
228,Baby food,September 2559,844,Wyoming,Ultramarine
229,Seafood,February 4362,474,Pennsylvania,Rosegold
230,Snack foods,September 0700,779,West Virginia,Aquamarine
231,Dairy,June 5823,438,Nevada,Azure
232,Detergents,May 6120,465,Wisconsin,Cerise
233,Brown rice,March 0393,370,Arizona,Gray
234,Toys,October 8301,379,North Carolina,Green
235,Paper Goods,June 3110,754,Minnesota,Aqua
236,Dairy,April 8014,336,Utah,Capri
237,Hygiene products,November 2633,946,Delaware,Turquoise
238,Fish,June 3235,665,Tennessee,Mauve
239,Diet foods,September 8783,169,Texas,Sky blue
240,Nonalcoholic beverages,January 3171,271,South Carolina,Purple
241,Flour,March 0340,674,Connecticut,Rosegold
242,Frozen foods,September 7849,992,California,Rust
243,Baby food,July 9165,33,Ohio,Salmon
244,Seafood,December 5614,994,Wisconsin,Silver
245,Flour,September 2971,364,Idaho,Yellow
246,Chicken,May 6536,455,Connecticut,Gray
247,Detergents,May 2548,399,Nevada,Sky blue
248,Medicines,November 2718,965,Oklahoma,Fuchsia
249,Dry Goods,September 9671,264,Alabama,Dark red
250,Brown rice,January 4059,241,Virginia,Silver
251,Dairy,February 4850,759,Minnesota,Rosewood
252,Flowers,March 9427,900,New Jersey,Purple
253,Baby-care,January 1983,748,New Mexico,Purple
254,Flowers,March 3453,581,Texas,Ruby
255,Cereals,January 6923,312,California,Cadet blue
256,Sweets,November 4713,150,Kansas,Aquamarine
257,Bread,August 5755,55,Iowa,Mauve
258,Grooming products,December 0053,632,Arizona,Dark red
259,Olive oil,April 9995,890,Nebraska,Aquamarine
260,Grooming products,May 9274,921,New Mexico,Orange
261,Poultry,June 9431,100,Connecticut,Beige
262,Tomato sauce,October 3327,660,California,Carmine
263,Olive oil,November 0758,273,South Dakota,Ruby
264,Condiments,April 0937,983,Hawaii,Ultramarine
265,Alcoholic beverages,October 9565,910,Maryland,Ultramarine
266,Ground turkey,February 7213,761,Delaware,Salmon
267,Baby-care,April 1607,18,Maryland,Rust
268,Dry Goods,February 9440,165,Arizona,Emerald
269,Tomato sauce,March 6348,734,Pennsylvania,Black
270,Personal hygiene,December 2241,232,New Jersey,Fuchsia
271,Baby-care,January 2154,138,Georgia,Apricot
272,Baby food,December 4676,843,Montana,Dark red
273,Salmon,February 0919,164,North Dakota,Cyan
274,Sweets,September 8164,40,Missouri,Cyan
275,Meat,January 6146,738,Michigan,Sienna
276,Mustard,August 9828,433,North Carolina,Aquamarine
277,Diet foods,March 6691,192,Texas,Sky blue
278,Poultry,September 0568,147,North Carolina,Azure
279,Brown rice,February 1200,311,Kentucky,Rosegold
280,Alcoholic beverages,March 7702,219,New Mexico,Salmon
281,House-cleaning products,November 0394,451,Nebraska,Silver
282,Personal Care,June 5800,478,Tennessee,Beige
283,Canned Goods,May 8470,295,Louisiana,Maroon
284,Snack foods,June 5822,477,Vermont,Camel
285,Bakery products,January 3352,102,Illinois,Purple
286,Dry Goods,March 6073,717,New Jersey,Peach
287,Poultry,June 4225,997,West Virginia,Apricot
288,Meat,May 4334,413,Virginia,Salmon
289,Detergents,May 2099,14,Idaho,Purple
290,Sauces,September 6009,695,California,Rosewood
291,Coffee,September 0463,88,Utah,Lime
292,Bread,November 6953,218,Idaho,Rust
293,Brown rice,September 4245,2,Nebraska,Pink
294,Chicken,January 3664,449,Oregon,Amethyst
295,Personal hygiene,November 7209,870,Kansas,Peach
296,Canned Goods,May 8126,598,Kentucky,Orange
297,Cereals,January 3109,176,Nevada,Purple
298,Toys,December 1412,88,Louisiana,Sienna
299,Diet foods,November 7910,275,Kentucky,coral
300,Eggs,March 8535,273,Florida,Red
301,Diet foods,June 6320,4,Louisiana,Ultramarine
302,Cheese,April 3829,334,Alaska,Gray
303,Cereals,December 6907,295,Iowa,Olive
304,Hygiene products,September 3234,426,Alaska,Yellow
305,Decorations,January 2671,276,Tennessee,Magenta
306,Frozen foods,June 5580,735,Minnesota,Gray
307,Frozen foods,October 0488,600,Delaware,Blue
308,Fruits,July 3206,877,Nevada,Cerise
309,Dairy,January 1178,272,Nevada,Auburn
310,Medicines,September 2816,734,Michigan,Barbie Pink
311,Baby food,May 9011,501,Montana,Peach
312,Snack foods,July 8828,311,Indiana,Pink
313,Paper Goods,July 2597,58,Louisiana,Sepia
314,Poultry,November 7093,966,South Dakota,Lime
315,Baby-care,May 0832,734,Vermont,Cyan
316,Dairy,September 2581,220,Vermont,Auburn
317,House-cleaning products,July 7514,460,Indiana,Pink
318,Tea,April 1934,511,Pennsylvania,Beige
319,Toys,August 6463,144,Wyoming,Camel
320,House-cleaning products,February 0005,555,South Carolina,Camel
321,Fish,May 5396,275,Oklahoma,Maroon
322,Paper Goods,January 0069,156,Mississippi,Brown
323,Nonalcoholic beverages,June 1771,137,Idaho,Dark Red
324,Bakery products,March 7880,285,Utah,White
325,Cosmetics,April 1030,365,South Carolina,Camel
326,Condiments,July 6093,395,Utah,Dark Red
327,Baby food,June 5464,323,West Virginia,Turquoise
328,Ground turkey,December 5345,193,Vermont,Cerise
329,Cheese,March 6273,142,Kentucky,White
330,Sauces,February 0949,399,Kentucky,Carmine
331,Hygiene products,February 8609,476,Connecticut,Turquoise
332,Pet foods,October 7812,243,Utah,White
333,Olive oil,January 2571,603,New York,Silver
334,Cheese,December 6814,923,Colorado,Amethyst
335,Cheese,February 1926,60,Maine,Maroon
336,Bakery products,September 1042,996,Idaho,Orange
337,Personal Care,March 0725,403,North Dakota,Beige
338,Pasta,December 4790,595,Florida,Amethyst
339,Mustard,July 1357,346,Oklahoma,Pink
340,Vegetables,November 0598,58,West Virginia,Dark red
341,Tea,June 0497,387,Michigan,Salmon
342,Mustard,September 9174,938,Missouri,Brown
343,Diet foods,June 5606,787,Alabama,Apricot
344,Olive oil,June 3578,54,New York,Maroon
345,Personal Care,June 7323,852,Minnesota,Auburn
346,Bakery products,June 5534,689,Tennessee,Brown
347,Vegetables,July 7308,300,Maryland,Blue
348,Baby food,November 0069,585,Kentucky,Peach
349,Dishware,February 1676,957,Massachussets,Olive
350,Dishware,March 5494,434,South Dakota,coral
351,Condiments,November 3053,573,Michigan,Amethyst
352,Ground turkey,June 9422,64,South Dakota,Brown
353,Sweets,April 5990,836,Delaware,Fuchsia
354,Bottled waters,July 6112,265,Kansas,Auburn
355,Fruits,September 9333,786,Vermont,Barbie Pink
356,Flour,April 7425,914,Pennsylvania,Cerise
357,Personal Care,December 7104,987,Minnesota,Purple
358,Ground turkey,March 0257,338,North Carolina,Rosegold
359,Condiments,August 2295,903,Indiana,Silver
360,Olive oil,May 1597,599,Rhode Island,Rust
361,Meat,August 1326,675,Delaware,Blue
362,Cheese,June 4337,345,Maryland,Sienna
363,Condiments,March 1085,871,Tennessee,Beige
364,Dry Goods,August 6245,498,Alabama,Cerise
365,Canned Goods,August 3019,112,Missouri,Peach
366,Nonalcoholic beverages,January 3748,889,Vermont,Barbie Pink
367,Flowers,July 8034,254,South Dakota,Salmon
368,Cosmetics,October 3624,57,Indiana,Maroon
369,Alcoholic beverages,November 4226,824,Arizona,Gold
370,Canned Goods,May 9211,331,Alabama,Salmon
371,Olive oil,July 4723,961,Maryland,Olive
372,Diet foods,September 4198,133,South Carolina,Barbie Pink
373,Vegetables,February 3744,97,Maine,Amethyst
374,Dairy,June 2336,836,Kansas,Turquoise
375,Cosmetics,July 2119,326,New Jersey,Sky blue
376,Paper Goods,September 7614,635,Minnesota,Rust
377,Olive oil,July 9941,181,Connecticut,Ultramarine
378,Detergents,September 3128,75,Pennsylvania,Dark red
379,Eggs,September 2730,840,South Dakota,Lime
380,Housewares,August 1450,182,Kansas,Purple
381,Tea,November 0451,373,Idaho,Maroon
382,Baby food,May 6596,292,Michigan,Sky blue
383,Tomato sauce,January 8763,827,Wisconsin,Cerise
384,Fruits,January 2640,421,New Jersey,Fuchsia
385,Mustard,August 6815,940,Alaska,Barbie Pink
386,Housewares,April 8295,801,Alabama,Salmon
387,Bakery products,March 4418,75,Vermont,Sienna
388,Dairy,May 1226,133,California,Olive
389,Ground turkey,November 7317,543,North Carolina,Capri
390,Cereals,August 0388,797,Washington,Apricot
391,Tomato sauce,January 7257,152,New Jersey,Silver
392,Dry Goods,January 0083,159,West Virginia,White
393,Decorations,June 3469,798,Illinois,Silver
394,Salmon,August 7294,740,Idaho,Auburn
395,Personal Care,April 5686,444,Michigan,Dark red
396,Cereals,November 6830,527,West Virginia,Rust
397,Dishware,July 8545,841,New Mexico,Sky blue
398,Fruits,June 7947,445,Illinois,Apricot
399,Salmon,July 7170,86,Arizona,Orange
400,Cheese,January 9239,393,Ohio,Gray
401,Tea,January 6469,194,New Jersey,Silver
402,Tea,September 6956,43,Wyoming,Sky blue
403,Personal hygiene,September 2505,336,Rhode Island,Lavender
404,Hygiene products,April 7638,77,Montana,Camel
405,Sweets,May 3475,588,Louisiana,Red
406,Cereals,March 5367,784,Oregon,Olive
407,Condiments,September 7652,605,Ohio,Olive
408,Paper Goods,July 4741,549,Michigan,Cyan
409,Tea,September 2496,183,Ohio,Rosegold
410,Sauces,November 3022,831,New Mexico,Mauve
411,Candies,March 7981,831,Arkansas,Rosewood
412,Pasta,April 6088,804,West Virginia,coral
413,Ground turkey,June 1379,219,Missouri,Amethyst
414,Cheese,November 3915,562,West Virginia,Dark red
415,Cereals,January 4319,840,Oregon,Sienna
416,Poultry,June 4487,811,Delaware,Gold
417,Housewares,March 8510,800,South Dakota,coral
418,Housewares,September 8214,560,Massachussets,Dark red
419,Frozen foods,March 5324,781,Maine,Pink
420,White rice,January 7888,53,Kentucky,Fuchsia
421,Grooming products,May 6422,580,Oregon,Orange
422,Baby-care,January 7772,452,Texas,Sky blue
423,Cosmetics,July 6426,409,Minnesota,Gray
424,Dairy,December 2962,6,Kentucky,Gold
425,White rice,April 9304,524,New Jersey,Green
426,Pet foods,September 8998,978,Utah,Magenta
427,Grooming products,August 9068,424,Maine,Gold
428,Seafood,June 9498,67,Hawaii,Auburn
429,Grooming products,August 4997,850,Oklahoma,Beige
430,Vegetables,January 6324,365,Arizona,White
431,White rice,June 2997,606,Tennessee,Champagne
432,Diet foods,October 8978,849,Maryland,Green
433,Ground turkey,March 4261,224,Kentucky,Carmine
434,Cereals,June 1887,517,Vermont,Azure
435,Housewares,December 3375,526,Nevada,Aquamarine
436,Chicken,February 5809,124,Pennsylvania,Ultramarine
437,Chicken,July 4001,122,Nebraska,Barbie Pink
438,Hygiene products,February 7350,269,North Dakota,Ultramarine
439,Pet foods,May 2169,431,Iowa,Aquamarine
440,Seafood,April 2673,712,South Carolina,Purple
441,House-cleaning products,May 0528,600,New York,Amethyst
442,Seafood,February 8966,256,North Carolina,Sky blue
443,Seafood,January 2536,45,Rhode Island,Emerald
444,Mustard,January 3584,673,North Carolina,Rust
445,Canned Goods,December 4726,854,Vermont,Purple
446,Bread,February 5062,881,Iowa,Sienna
447,Dry Goods,July 6898,454,Alaska,Mauve
448,Grooming products,April 0875,106,Kentucky,Barbie Pink
449,Coffee,May 9094,605,Nebraska,Champagne
450,Chicken,November 6359,812,Maryland,Orange
451,Medicines,August 0292,386,South Dakota,Amethyst
452,Diet foods,October 0065,51,Idaho,Lime
453,Bottled waters,February 9402,614,Mississippi,Champagne
454,Chicken,March 9650,297,Georgia,Orange
455,Fruits,August 8521,570,Louisiana,Cadet blue
456,Eggs,October 8205,163,Oklahoma,Dark red
457,Medicines,September 9287,11,Kentucky,Aquamarine
458,Toys,November 4546,121,Colorado,Blue
459,Sauces,January 1235,298,Tennessee,Rosewood
460,Poultry,October 7837,367,Vermont,Dark Red
461,Medicines,January 9543,212,South Carolina,Maroon
462,Mustard,March 8408,719,Oklahoma,Ultramarine
463,Baby food,January 7246,983,Connecticut,Auburn
464,Personal hygiene,May 5518,60,Oklahoma,Barbie Pink
465,Grooming products,July 6033,666,Louisiana,Red
466,Tomato sauce,February 0339,94,Hawaii,Emerald
467,Coffee,September 4001,280,Alabama,Aqua
468,Nonalcoholic beverages,September 7369,985,Mississippi,Silver
469,Vegetables,December 2115,206,New York,Cadet blue
470,Snack foods,December 7153,116,Georgia,Rosewood
471,Flour,August 7597,51,New Mexico,Olive
472,Bread,July 9289,815,Washington,Emerald
473,Toys,January 7475,266,South Carolina,Dark Red
474,Nonalcoholic beverages,September 0035,90,Oklahoma,Mauve
475,Toys,June 4748,720,New York,Gray
476,Condiments,September 7264,600,Wisconsin,Ultramarine
477,Pet foods,November 2981,497,West Virginia,Lavender
478,Grooming products,October 1354,778,Utah,Magenta
479,Cereals,June 9617,956,Arizona,coral
480,Meat,September 0658,934,Virginia,Maroon
481,Pet foods,December 7959,463,Colorado,Rosegold
482,Personal Care,April 0193,949,Texas,Beige
483,Seafood,January 3042,9,South Dakota,Apricot
484,Cereals,August 0688,721,Connecticut,Ultramarine
485,Personal Care,May 8754,941,Missouri,Amethyst
486,Fish,November 9559,247,Ohio,Black
487,Fish,October 2945,765,Illinois,Capri
488,Poultry,December 6582,569,New York,Azure
489,Frozen foods,September 1139,411,Illinois,Sky blue
490,Olive oil,March 1830,234,Mississippi,Mauve
491,Tea,November 8889,5,Hawaii,Pink
492,Cosmetics,November 5904,659,Iowa,Auburn
493,Sauces,January 4839,303,Vermont,Purple
494,Nonalcoholic beverages,November 7748,412,Missouri,Purple
495,Chicken,June 4477,558,Louisiana,Fuchsia
496,Baby food,August 0128,457,Alabama,Apricot
497,Coffee,July 4316,183,South Dakota,Dark red
