ID,Products,Expiration Date,Amount,Locations,packaging
498,Pet foods,July 8812,923,Georgia,Peach
499,Pet foods,February 3165,905,Massachussets,Gray
500,Housewares,February 4453,122,New Jersey,Aquamarine
501,Coffee,July 3002,213,Arkansas,Champagne
502,Bottled waters,February 5469,196,Mississippi,Sienna
503,Pet foods,November 0876,606,Utah,Fuchsia
504,Pet foods,January 5998,568,South Dakota,Lavender
505,Baby food,June 5755,367,Wyoming,Sienna
506,Toys,June 3996,36,New Hampshire,Cadet blue
507,Diet foods,September 1654,816,North Dakota,Black
508,White rice,September 1241,744,Nevada,Rosewood
509,Personal Care,March 5619,938,New Mexico,Ultramarine
510,Nonalcoholic beverages,September 5298,455,North Carolina,Aquamarine
511,Eggs,February 6923,617,Connecticut,Cerise
512,Seafood,May 3876,865,Virginia,Capri
513,Pet foods,June 2763,414,North Carolina,Dark Red
514,Candies,February 5001,80,Wyoming,Magenta
515,Mustard,March 2304,329,Virginia,Sienna
516,Dairy,October 3609,761,Indiana,Silver
517,Dry Goods,October 1901,563,Minnesota,Dark red
518,Candies,October 0303,245,Utah,Emerald
519,Toys,September 1689,925,New Mexico,Azure
520,Cereals,July 6190,865,Michigan,Yellow
521,Medicines,June 0852,331,Oregon,Amethyst
522,White rice,March 2669,804,Louisiana,Black
523,Poultry,October 0180,966,Arizona,Lavender
524,Condiments,October 3525,191,Alaska,Ruby
525,Pet foods,January 9214,250,Alaska,Rust
526,Mustard,January 9934,459,New Jersey,Rosewood
527,House-cleaning products,October 6184,572,Texas,Ultramarine
528,Sweets,July 1624,98,Nevada,Purple
529,Dishware,January 7876,382,Michigan,Purple
530,Detergents,June 0341,743,Oregon,Sienna
531,Paper Goods,July 6104,897,Oklahoma,Gray
532,Baby food,February 2712,629,New Hampshire,Brown
533,White rice,April 4690,163,Louisiana,Aquamarine
534,Medicines,March 9029,542,Wisconsin,Peach
535,Tea,October 9459,860,Wisconsin,Apricot
536,Coffee,September 6000,979,Alabama,Apricot
537,Decorations,June 8414,536,Delaware,coral
538,Sweets,January 6594,966,Kansas,Magenta
539,Baby-care,February 4965,476,Connecticut,Orange
540,Vegetables,February 5758,634,Colorado,Aqua
541,Cereals,September 2490,380,Indiana,Amethyst
542,Flour,May 0750,18,Vermont,Camel
543,Tomato sauce,November 7346,792,Florida,Carmine
544,Cheese,March 8897,977,New Jersey,Carmine
545,Canned Goods,November 8866,323,Utah,Salmon
546,Medicines,January 8814,710,Pennsylvania,Yellow
547,Detergents,May 6736,338,Idaho,Orange
548,Bottled waters,December 0711,365,Colorado,Gold
549,Flowers,May 8877,544,Washington,Aqua
550,Dairy,December 0121,486,Louisiana,Aqua
551,Dairy,July 2253,627,Massachussets,Champagne
552,Fish,May 2182,672,Wyoming,Dark Red
553,Eggs,June 8211,346,Illinois,Magenta
554,Salmon,July 8655,926,Nevada,Black
555,Personal hygiene,November 9685,397,West Virginia,Auburn
556,Snack foods,July 6419,589,Nebraska,Barbie Pink
557,House-cleaning products,August 5521,270,New Jersey,Carmine
558,House-cleaning products,December 2808,716,Montana,Salmon
559,Fish,August 8003,180,Washington,Ruby
560,Toys,April 8505,37,Wyoming,Barbie Pink
561,Grooming products,December 6792,399,Vermont,Brown
562,Dry Goods,August 7903,443,South Dakota,Orange
563,Medicines,June 2856,532,Wyoming,Champagne
564,Fish,July 5747,944,Georgia,Dark red
565,Mustard,August 9493,43,Alabama,Gray
566,Flowers,February 3359,50,Virginia,Olive
567,Baby food,May 3469,510,West Virginia,Cadet blue
568,Cosmetics,June 7216,375,Maine,Blue
569,Meat,November 3372,250,Oklahoma,Brown
570,Tomato sauce,February 1246,279,Tennessee,Sienna
571,Fruits,March 5296,146,Mississippi,Lime
572,Fruits,February 6118,931,Mississippi,Brown
573,Cereals,February 6969,602,New Mexico,Camel
574,Sauces,April 6779,717,North Carolina,Orange
575,Tea,September 9510,964,North Dakota,Ultramarine
576,Dairy,May 4631,282,Kansas,Capri
577,Fish,July 2430,926,Iowa,Sepia
578,White rice,November 9060,922,Pennsylvania,Lime
579,Flour,September 6787,234,New York,Silver
580,Diet foods,November 5184,736,Montana,Turquoise
581,Pet foods,December 4933,184,Montana,Turquoise
582,Decorations,May 8828,501,Massachussets,Lime
583,Tea,October 6994,318,California,Aqua
584,Baby-care,August 8274,764,Indiana,Lavender
585,Fish,January 7276,349,Maryland,Emerald
586,Tea,July 3464,861,North Carolina,Pink
587,Hygiene products,September 5527,927,Vermont,Turquoise
588,Fruits,January 4795,452,Vermont,Gray
589,Salmon,May 1434,259,Virginia,Auburn
590,Nonalcoholic beverages,September 6684,722,Delaware,Purple
591,House-cleaning products,October 0703,847,South Carolina,Salmon
592,Fruits,May 9196,768,Indiana,Gold
593,Snack foods,September 3047,651,South Carolina,Maroon
594,Personal hygiene,June 6545,981,Oregon,Lime
595,Poultry,December 3565,197,Michigan,Sky blue
596,Salmon,July 9271,370,Colorado,Azure
597,Eggs,December 9223,736,Pennsylvania,Carmine
598,Pasta,August 2304,734,Connecticut,Lavender
599,Chicken,April 7347,513,Texas,Auburn
600,Condiments,September 3957,211,Vermont,Camel
601,Frozen foods,January 5148,248,Oklahoma,Green
602,Canned Goods,June 9824,853,Vermont,Rosegold
603,Coffee,September 6706,916,Michigan,Rosegold
604,Baby food,June 7403,721,Michigan,Azure
605,Sweets,August 9767,587,Alaska,Lime
606,Chicken,October 3337,69,New Mexico,Gray
607,Ground turkey,July 4622,229,Maine,Peach
608,Vegetables,November 0200,548,Nebraska,Black
609,Dishware,December 4057,753,South Carolina,Maroon
610,Sweets,January 0147,937,Maryland,Ultramarine
611,Personal hygiene,January 1530,583,Idaho,Sky blue
612,Decorations,April 6221,84,Indiana,Maroon
613,Cosmetics,April 4397,138,Texas,Orange
614,Baby-care,March 4067,3,Oklahoma,Cyan
615,Meat,March 1465,725,Iowa,Barbie Pink
616,House-cleaning products,February 2548,730,North Carolina,Auburn
617,Bakery products,May 0220,214,Oklahoma,Azure
618,Tomato sauce,April 1325,6,New Jersey,Champagne
619,Bread,May 6810,379,Missouri,Olive
620,Poultry,April 3347,217,Wyoming,Cyan
621,Dishware,July 3966,147,Arizona,Silver
622,Meat,December 3199,695,Vermont,Ruby
623,Alcoholic beverages,May 9632,799,Minnesota,Rosewood
624,Nonalcoholic beverages,April 0233,925,Colorado,Carmine
625,Vegetables,September 3289,809,Florida,Sky blue
626,Tomato sauce,December 6779,51,Vermont,Aquamarine
627,Snack foods,January 8899,804,Rhode Island,Magenta
628,Dry Goods,January 7582,850,Michigan,Blue
629,Decorations,August 4497,359,Louisiana,Auburn
630,Cosmetics,May 2201,835,Florida,Barbie Pink
631,Flour,September 1411,110,Maryland,Azure
632,Fish,February 5474,285,Connecticut,Amethyst
633,Poultry,August 5976,360,Hawaii,Amethyst
634,Tea,June 6468,680,Texas,Emerald
635,Personal hygiene,June 1110,934,Mississippi,White
636,Decorations,May 9468,515,Nevada,Rosewood
637,Olive oil,March 3969,179,Nevada,Red
638,Toys,September 9205,575,Maine,Magenta
639,Cheese,December 3476,620,Kansas,Carmine
640,Bottled waters,June 0631,954,North Carolina,Sky blue
641,Bread,July 8339,479,Utah,Ultramarine
642,Olive oil,April 3026,930,New York,Ultramarine
643,Diet foods,August 0921,189,New York,Amethyst
644,Olive oil,May 9990,907,Tennessee,Red
645,Snack foods,May 9271,857,California,Maroon
646,Mustard,February 8836,759,Maryland,Rust
647,Hygiene products,June 5107,757,Oregon,White
648,Brown rice,April 4373,70,Michigan,Black
649,Decorations,April 9448,258,Georgia,Mauve
650,Snack foods,June 8667,63,California,Emerald
651,Toys,December 6227,84,New York,Turquoise
652,Personal Care,May 6050,670,Maine,Silver
653,Brown rice,December 2326,277,North Dakota,Maroon
654,Ground turkey,March 5818,416,Alabama,Black
655,Personal hygiene,May 8160,486,Texas,Sky blue
656,Sauces,June 3369,403,Wyoming,Sienna
657,Alcoholic beverages,September 0458,673,Kansas,Yellow
658,Dairy,January 2660,576,Wisconsin,Aquamarine
659,Bread,December 6003,945,Idaho,Barbie Pink
660,Pet foods,January 1525,897,Hawaii,Amethyst
661,Tomato sauce,January 3348,448,Ohio,Lime
662,Diet foods,June 3113,788,Missouri,Purple
663,Sweets,November 1763,389,Alaska,Lime
664,Pet foods,December 4424,273,Iowa,Gold
665,Fruits,June 5056,910,Delaware,Sienna
666,Diet foods,October 2277,340,New Mexico,Dark Red
667,Grooming products,February 1275,166,Rhode Island,Brown
668,Pet foods,May 7552,798,Massachussets,Lavender
669,Canned Goods,January 1778,963,South Dakota,Gray
670,House-cleaning products,July 1755,754,New York,Pink
671,Frozen foods,March 2544,826,Utah,Azure
672,Cosmetics,June 5423,658,Maryland,Ruby
673,Dry Goods,July 8036,547,Florida,Peach
674,Sauces,October 1867,680,Louisiana,Sepia
675,Dry Goods,May 9904,422,Wyoming,Carmine
676,Ground turkey,February 7392,204,Minnesota,Carmine
677,Tomato sauce,November 3021,544,New Jersey,Aquamarine
678,Bottled waters,December 0470,936,Minnesota,Dark red
679,Baby-care,July 9435,529,Wyoming,Barbie Pink
680,Diet foods,October 9021,772,Louisiana,Red
681,Medicines,August 4473,358,Oregon,Sepia
682,Personal hygiene,April 2356,185,North Carolina,Cyan
683,Flour,May 5975,336,Utah,Rust
684,Poultry,February 2104,994,Maine,Brown
685,Dry Goods,December 8165,405,Kansas,Salmon
686,Personal Care,May 4670,535,New York,Aquamarine
687,Nonalcoholic beverages,June 9308,429,Virginia,Sepia
688,Eggs,December 9997,293,California,Black
689,Snack foods,March 4350,241,Ohio,Rosewood
690,Tomato sauce,May 5335,464,Louisiana,Lime
691,Candies,October 3581,768,Wyoming,Ruby
692,Hygiene products,December 2095,780,Nebraska,Sky blue
693,Fish,December 1984,965,Kansas,Champagne
694,Vegetables,April 8920,700,Oklahoma,Olive
695,Olive oil,April 9817,502,Illinois,Azure
696,Meat,December 5267,903,Illinois,Magenta
697,Housewares,January 8751,154,Indiana,Auburn
698,Detergents,December 1811,871,Alabama,Rust
699,Fruits,February 7309,638,California,Dark red
700,Cheese,June 6560,145,Hawaii,Silver
701,Cosmetics,December 5081,242,Minnesota,Silver
702,Alcoholic beverages,June 9541,390,Georgia,Salmon
703,Paper Goods,June 0902,547,Michigan,Silver
704,Bread,January 4109,784,Texas,Cyan
705,Eggs,February 6289,784,Illinois,Aqua
706,Flour,November 8116,889,North Carolina,Green
707,Mustard,March 9981,934,Rhode Island,Beige
708,Ground turkey,September 5575,132,Arizona,Olive
709,Toys,January 0083,397,Minnesota,Rust
710,Housewares,October 6337,417,New Mexico,Ruby
711,Tomato sauce,February 4328,827,Montana,Maroon
712,Flour,March 5389,334,New Jersey,Capri
713,Dairy,July 5206,810,Wisconsin,Sepia
714,Personal Care,December 1220,784,South Carolina,White
715,Tea,June 5267,505,Ohio,Salmon
716,Tomato sauce,June 7075,427,New Mexico,Lavender
717,Vegetables,September 9265,850,Ohio,Lime
718,Nonalcoholic beverages,May 1277,800,Maryland,Ruby
719,House-cleaning products,October 6163,713,Utah,Cyan
720,Alcoholic beverages,June 5292,165,New York,Aquamarine
721,Decorations,July 8625,960,Oregon,Red
722,Alcoholic beverages,January 0482,302,Maryland,Lime
723,Snack foods,May 7442,553,South Dakota,Orange
724,Bread,December 6698,798,New Hampshire,Auburn
725,Diet foods,September 4599,163,Texas,Rust
726,Hygiene products,March 3342,58,Indiana,Red
727,Condiments,April 5722,880,West Virginia,Pink
728,Baby food,December 6056,69,Montana,Olive
729,Housewares,July 3035,34,Colorado,Olive
730,Canned Goods,December 6358,39,Idaho,Champagne
731,Eggs,July 9485,874,Arkansas,Auburn
732,Chicken,November 8766,325,Missouri,Cadet blue
733,Condiments,June 5676,282,Hawaii,Rosegold
734,Nonalcoholic beverages,November 4600,105,Oklahoma,Azure
735,Cereals,January 2182,498,Kansas,Dark red
736,Olive oil,September 7673,304,New York,Champagne
737,Seafood,February 5422,219,Minnesota,Beige
738,Canned Goods,December 5072,82,Nevada,Auburn
739,Ground turkey,December 4087,290,Colorado,Red
740,Pasta,July 1474,508,Washington,Lime
741,Ground turkey,October 8150,244,North Dakota,Dark red
742,Tea,November 2092,87,Indiana,Pink
743,Chicken,May 5429,430,Georgia,Orange
744,Personal Care,December 5163,345,Ohio,Cadet blue
745,Dry Goods,June 5661,618,Vermont,Sepia
746,Brown rice,April 5140,317,Hawaii,Black
747,Bread,September 0287,168,Tennessee,Apricot
748,Personal hygiene,January 2554,123,Texas,Auburn
749,Eggs,May 3070,852,Georgia,Orange
750,Poultry,January 7184,577,Texas,Amethyst
751,Bakery products,August 9989,521,New Mexico,Ultramarine
752,Snack foods,April 6007,571,Maryland,Orange
753,Baby-care,July 2145,166,Delaware,Rust
754,Cosmetics,November 6846,160,North Dakota,Rosegold
755,Cosmetics,April 8409,700,Delaware,Rosegold
756,Chicken,June 9688,193,Connecticut,Amethyst
757,Vegetables,November 4994,577,Maine,Emerald
758,Decorations,October 3405,105,Colorado,Olive
759,Seafood,April 5595,807,Maine,Peach
760,Coffee,August 9891,986,Iowa,Maroon
761,Paper Goods,September 7368,823,Alaska,Camel
762,Seafood,January 8066,587,Wisconsin,Auburn
763,Fish,November 0417,656,Washington,Azure
764,Baby food,February 6221,39,Arkansas,Champagne
765,Grooming products,August 2378,708,Maine,Rosegold
766,Candies,January 9087,742,Nevada,Maroon
767,Pet foods,August 5562,278,Massachussets,Brown
768,Cosmetics,June 2506,963,South Dakota,coral
769,Bread,March 6221,25,Oregon,Lime
770,Bread,December 1174,704,Tennessee,Aquamarine
771,Candies,February 0626,774,Wisconsin,Olive
772,Personal hygiene,July 0784,466,Virginia,Auburn
773,Meat,November 3653,992,Louisiana,Capri
774,Seafood,October 3603,493,Kansas,Mauve
775,Flour,March 3159,952,Vermont,Yellow
776,Tea,June 7593,577,Colorado,Sienna
777,Personal Care,October 5532,746,Washington,Rosegold
778,Dry Goods,October 9345,462,Louisiana,Dark red
779,Personal Care,May 1767,844,Kansas,Black
780,Vegetables,March 8517,364,Vermont,Camel
781,Candies,December 3110,750,Oklahoma,Rust
782,White rice,December 4187,694,Texas,Gold
783,Ground turkey,March 8271,23,Hawaii,Cyan
784,Pasta,April 9082,768,Pennsylvania,Gray
785,Seafood,March 2577,368,Wisconsin,Pink
786,Dry Goods,February 9753,547,Georgia,Sienna
787,Tea,January 1274,535,Utah,Dark Red
788,Flowers,November 1447,847,Oklahoma,Blue
789,Medicines,December 2247,864,Pennsylvania,Lime
790,Fish,August 4099,19,Maine,Ruby
791,Pasta,January 2244,814,Arkansas,Fuchsia
792,Grooming products,September 3292,129,Alabama,Emerald
793,White rice,January 2223,35,Idaho,Orange
794,Baby-care,May 8894,448,Utah,Lavender
795,House-cleaning products,April 2267,54,Oregon,Red
796,Poultry,June 1205,214,Iowa,Carmine
797,Dairy,April 1629,821,Illinois,Blue
798,Paper Goods,September 7166,672,Oregon,Lime
799,Mustard,November 1509,829,Georgia,Cyan
800,Baby food,June 5945,221,Alabama,White
801,Flour,March 0344,942,Kansas,Brown
802,House-cleaning products,January 6735,653,Colorado,Capri
803,Medicines,February 8435,190,North Dakota,Rosegold
804,Diet foods,April 6582,67,Texas,Emerald
805,House-cleaning products,January 5225,269,Nebraska,Carmine
806,Ground turkey,November 3034,353,Oregon,Apricot
807,Snack foods,March 8803,673,Colorado,Green
808,Ground turkey,September 1607,606,Georgia,Olive
809,Snack foods,April 9662,98,South Dakota,Dark red
810,Canned Goods,May 0418,620,Arizona,Sienna
811,Flour,January 5519,4,Indiana,Turquoise
812,Personal Care,May 3650,726,Delaware,Lavender
813,Baby-care,September 4761,587,Colorado,Ruby
814,Toys,January 4417,53,Florida,Lavender
815,Coffee,June 8751,945,Massachussets,Gray
816,Dairy,April 1781,28,New Jersey,Black
817,Bread,June 8790,801,Arizona,Cyan
818,Coffee,May 8043,480,Kentucky,Dark red
819,Coffee,December 2457,7,Illinois,Ruby
820,Seafood,January 6019,148,Delaware,Carmine
821,Baby-care,December 4555,12,Virginia,Aqua
822,Flour,June 4686,571,Colorado,Silver
823,Salmon,September 7676,439,Oregon,Rosegold
824,Pet foods,October 0114,430,Connecticut,Auburn
825,Pet foods,December 1962,173,Montana,Rust
826,Frozen foods,May 6669,236,Virginia,Yellow
827,Vegetables,November 8842,71,Nevada,Maroon
828,Tomato sauce,July 5174,749,Washington,Carmine
829,Salmon,June 6666,838,Mississippi,Sienna
830,Baby food,April 7415,288,Minnesota,Red
831,Baby-care,June 9873,789,Utah,Green
832,Personal hygiene,June 3055,386,Mississippi,Red
833,Salmon,September 4514,886,Rhode Island,Ultramarine
834,White rice,February 1090,299,Wisconsin,Ultramarine
835,Flowers,November 8268,241,Minnesota,Gold
836,Salmon,July 2858,71,Wyoming,Mauve
837,Snack foods,March 0137,196,New Jersey,Rust
838,Frozen foods,January 4355,430,Montana,Fuchsia
839,Cheese,June 2911,719,Oregon,Rosewood
840,Fish,September 6627,361,New Jersey,Brown
841,Snack foods,March 2798,154,California,Carmine
842,Mustard,September 5845,198,Hawaii,Brown
843,Housewares,December 0934,902,Alaska,Rosewood
844,Ground turkey,September 9582,432,North Dakota,Magenta
845,Baby-care,January 8900,796,Alaska,Gold
846,Poultry,February 1376,277,Alabama,Ultramarine
847,Bread,August 4611,540,Arizona,Cyan
848,Dishware,May 6346,837,New York,Dark Red
849,Seafood,March 4799,483,Indiana,Purple
850,Eggs,March 2068,502,Montana,Dark Red
851,Tea,July 9219,352,Missouri,Rosewood
852,Flour,July 9720,672,Georgia,Maroon
853,Paper Goods,June 4446,411,Hawaii,Red
854,Cereals,December 6724,677,Arizona,Camel
855,Cereals,January 1374,222,Nebraska,Turquoise
856,Pasta,December 7975,492,Hawaii,Amethyst
857,Housewares,December 6874,460,Indiana,Dark Red
858,Frozen foods,March 3254,801,South Dakota,Camel
859,Candies,December 0902,333,Oregon,Emerald
860,Flour,June 6598,700,Louisiana,Apricot
861,Condiments,September 8986,957,Virginia,Amethyst
862,Candies,July 3997,646,Iowa,Amethyst
863,Mustard,April 8986,97,North Carolina,Lavender
864,Paper Goods,January 5050,956,Missouri,Black
865,Dairy,June 7034,811,Utah,Auburn
866,House-cleaning products,July 3325,106,New Mexico,Beige
867,Pasta,February 1962,405,Massachussets,Gold
868,Nonalcoholic beverages,September 2801,238,Oklahoma,Auburn
869,Personal hygiene,November 8948,301,Illinois,Maroon
870,Candies,August 7800,793,Utah,Apricot
871,Medicines,March 7440,432,Minnesota,Pink
872,Baby-care,December 8001,967,New York,Sky blue
873,Salmon,September 3628,161,Maryland,Peach
874,Cheese,April 0234,694,South Dakota,Pink
875,Medicines,June 6783,385,Minnesota,Barbie Pink
876,Baby-care,February 2578,501,South Carolina,Sepia
877,Personal hygiene,June 9399,960,Nebraska,Purple
878,Frozen foods,March 5666,723,Arizona,Peach
879,Poultry,July 9445,984,Rhode Island,Peach
880,Toys,May 0393,362,Nebraska,Black
881,Fish,October 2466,51,Washington,Ultramarine
882,Chicken,April 2777,545,Vermont,Silver
883,Frozen foods,February 4651,801,Hawaii,Maroon
884,Snack foods,October 7380,370,Arizona,Lime
885,Bread,July 3984,343,Wyoming,Aqua
886,Candies,July 7078,968,New Hampshire,Champagne
887,Diet foods,March 4222,550,West Virginia,Cadet blue
888,Fish,March 8053,371,Tennessee,coral
889,Canned Goods,November 9052,196,Indiana,Gold
890,Personal hygiene,September 1854,423,Alaska,Beige
891,Pasta,June 7141,93,Georgia,Turquoise
892,Bottled waters,March 7876,16,Indiana,Lavender
893,White rice,January 5819,85,Indiana,Emerald
894,Frozen foods,June 8233,644,Maryland,Purple
895,Vegetables,July 0168,556,Idaho,Camel
896,Flowers,March 1296,625,Iowa,Sienna
897,Baby-care,January 2266,290,Maine,Sienna
898,Personal hygiene,August 7824,615,Kansas,Pink
899,Cereals,July 0143,477,Kansas,Apricot
900,Canned Goods,June 5795,954,California,Cerise
901,Dairy,July 5961,611,Ohio,Champagne
902,Candies,May 5145,498,South Carolina,Olive
903,Snack foods,June 3739,947,Oregon,Black
904,Cereals,May 3614,773,South Carolina,Blue
905,Diet foods,November 7172,444,New Hampshire,Green
906,Grooming products,August 1775,827,Oregon,Cadet blue
907,Personal Care,August 4084,859,Montana,Sky blue
908,Dairy,January 8618,619,Michigan,Camel
909,Sweets,August 3161,77,Iowa,coral
910,Frozen foods,August 0360,343,Florida,Rosewood
911,Fish,August 6477,499,Nebraska,Mauve
912,Mustard,March 9554,985,Massachussets,Emerald
913,Diet foods,April 6940,290,Michigan,Dark red
914,Tea,May 1125,986,Arizona,Carmine
915,Tomato sauce,May 5173,846,Maryland,Maroon
916,Pet foods,June 9462,690,Maryland,Brown
917,White rice,February 7991,952,Missouri,Cyan
918,Tea,April 6644,356,California,Azure
919,Housewares,December 8815,139,Arizona,Olive
920,Snack foods,May 5837,550,Mississippi,Emerald
921,Brown rice,May 1987,648,Texas,Aquamarine
922,Tomato sauce,February 0632,703,Connecticut,Pink
923,Cheese,January 4834,559,Missouri,Yellow
924,Seafood,May 2007,949,Pennsylvania,White
925,Chicken,December 1758,323,Minnesota,Cyan
926,Mustard,July 7566,786,Georgia,Orange
927,Alcoholic beverages,July 8912,688,Hawaii,Mauve
928,White rice,April 4411,890,Wisconsin,Capri
929,Candies,July 1667,928,Wyoming,Capri
930,Brown rice,January 2796,269,Georgia,Sepia
931,Decorations,July 4668,179,Maine,Turquoise
932,Eggs,October 9258,325,Arkansas,Orange
933,Eggs,July 3286,450,Washington,Magenta
934,Bread,October 8899,206,Rhode Island,Ruby
935,Nonalcoholic beverages,October 5721,477,Alabama,Apricot
936,Chicken,July 4572,631,New Mexico,Cyan
937,Olive oil,June 7493,262,Idaho,Orange
938,Eggs,April 6665,355,Florida,Cyan
939,Nonalcoholic beverages,February 1802,591,Colorado,Olive
940,Sauces,November 6080,170,South Carolina,Aqua
941,Salmon,February 8070,580,New Jersey,Gold
942,Frozen foods,December 9097,174,Wyoming,Cadet blue
943,Frozen foods,September 8007,10,Nebraska,Lime
944,Tea,March 7285,878,West Virginia,Peach
945,Vegetables,August 2090,518,Maine,Blue
946,Cosmetics,August 9500,723,Montana,Black
947,Dishware,April 9032,961,North Dakota,Emerald
948,Ground turkey,October 1498,158,Louisiana,Ultramarine
949,Fish,July 1958,634,Nevada,Capri
950,Pet foods,February 8330,551,Arizona,Cerise
951,Poultry,March 7043,792,Oregon,Fuchsia
952,Poultry,December 8389,327,Kentucky,Blue
953,Poultry,May 3339,631,New Hampshire,Mauve
954,Canned Goods,July 2462,4,Alabama,Emerald
955,Personal Care,October 4707,844,Massachussets,Cadet blue
956,Poultry,March 9676,453,Louisiana,Azure
957,Tea,December 9172,133,Tennessee,Cadet blue
958,Fruits,November 2986,871,Iowa,Pink
959,Ground turkey,November 1438,837,Arizona,Maroon
960,Flowers,July 4695,298,Kentucky,White
961,Salmon,May 1745,637,Alaska,Auburn
962,Chicken,February 3479,33,Oregon,Sienna
963,Housewares,December 6998,600,New Jersey,Sienna
964,Paper Goods,March 6163,830,South Carolina,Cyan
965,Hygiene products,March 4067,496,Oregon,Blue
966,Personal hygiene,December 8262,507,Vermont,Lavender
967,Dishware,April 7180,807,South Dakota,Barbie Pink
968,Cosmetics,September 8094,749,West Virginia,Brown
969,Paper Goods,May 5212,762,Florida,Carmine
970,Paper Goods,July 7592,554,North Carolina,Pink
971,Olive oil,December 4950,596,Nebraska,Olive
972,Condiments,March 6237,581,Michigan,White
973,Toys,May 3299,932,Louisiana,Gold
974,Eggs,July 9281,608,Montana,Camel
975,Sweets,February 0098,182,Iowa,Silver
976,Housewares,July 4351,492,Nebraska,Peach
977,Toys,June 0888,226,Nebraska,Sienna
978,Candies,January 0244,391,Montana,Pink
979,Cereals,October 8547,246,Florida,Cyan
980,Cereals,August 4289,848,New Jersey,Auburn
981,Tea,September 3788,673,Alabama,Sky blue
982,Baby food,September 9980,507,Nevada,Black
983,Chicken,December 6075,493,Texas,Beige
984,Flour,September 7957,948,North Dakota,Barbie Pink
985,Fruits,May 4369,497,New Hampshire,Lavender
986,Frozen foods,August 5643,431,Connecticut,Apricot
987,Seafood,September 7776,573,Vermont,Lime
988,Diet foods,May 2600,219,New Mexico,Orange
989,Nonalcoholic beverages,December 7303,139,Minnesota,Lavender
990,Meat,February 5549,437,Maine,Carmine
991,Baby-care,July 3676,491,Hawaii,Olive
992,Cereals,December 0953,382,Idaho,Olive
993,Mustard,April 9188,476,South Carolina,Salmon
994,Paper Goods,February 6736,649,Arizona,Carmine
995,Vegetables,February 2906,68,Maine,Emerald
996,Cheese,February 9446,226,Delaware,Rust
997,Frozen foods,July 3534,384,New Mexico,Sienna
998,Paper Goods,December 7377,537,Maine,Cerise
999,House-cleaning products,February 9589,158,South Dakota,Silver
1000,Flour,February 9646,997,Illinois,Emerald

